SINGLE/CLUMP,Photos date,IPAM date,microPAM Date,Species,Crosstype,Lifestage,Year,Timepoint,Temp2,Temp,Treatment,Tank,Cassette,Plate.Slide,Well,Mom,Dad,Family,Genetic,Recruit,Survival T6,F microPAM,Fm' microPAM,YII_micro,F (IPAM),Fm' (IPAM),Y(II) (IPAM),IndID,Cone,popcross
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,408,2336,B,Parke5,Davies6,Parke5xDavies6,T.F22,3*,1,0.0088,0.0137,0,,,,9.408.2336.3*,C78,PARxDAV
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,408,2341,D,Davies6,Davies1,Davies6xDavies1,T.F13,1,1,0.0181,0.0255,0,,,,9.408.2341.1,C75,DAVxDAV
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,408,2982,A,Jewell8,Davies6,Jewell8xDavies6,T.F18,1,1,0.0034,0.0078,0,,,,9.408.2982.1,C87,JEWxDAV
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,408,1289,A,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,1,1,0.0039,0.0078,0,,,,9.408.1289.1,C80,SWIxSWI
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,638,1552,B,Jewell6,Palms4,Jewell6xPalms4,T.F43,1,1,0.0049,0.0098,0,,,,9.638.1552.1,C39,JEWxPAL
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,638,1516,D,Jewell3,Davies1,Jewell3xDavies1,T.F58,3*,1,0.0044,0.0074,0,,,,9.638.1516.3*,C101,JEWxDAV
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,638,1984,D,Jewell8,Palms4,Jewell8xPalms4,T.F47,3,1,0.0029,0.0059,0,,,,9.638.1984.3,C59,JEWxPAL
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,638,1587,B,Palms2,Palms5,Palms2xPalms5,T.F35,1,1,0.0064,0.0108,0,,,,9.638.1587.1,C86,PALxPAL
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,638,1497,D,Davies8,Davies6,Davies8xDavies6,T.F14,2*,1,0.0029,0.0059,0,,,,9.638.1497.2*,C70,DAVxDAV
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,633,1463,C,Jewell2,Jewell8,Jewell2xJewell8,T.F4,1*,1,0.0162,0.027,0,,,,9.633.1463.1*,C85,JEWxJEW
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,633,1204,C,Switzer4,Davies8,Switzer4xDavies8,T.F31,2,1,0.0216,0.0221,0,,,,9.633.1204.2,C72,SWIxDAV
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,633,1990,A,Jewell8,Palms1,Jewell8xPalms1,T.F42,1,1,0.0034,0.0054,0,,,,9.633.1990.1,C55,JEWxPAL
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,633,1906,A,Jewell6,Palms1,Jewell6xPalms1,T.F38,1,1,0.0025,0.0054,0,,,,9.633.1906.1,C31,JEWxPAL
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,633,1955,B,Palms5,Palms4,Palms5xPalms4,T.F34,3*,1,0.0054,0.0103,0,,,,9.633.1955.3*,C79,PALxPAL
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,664,2896,C,Palms4,Davies1,Palms4xDavies1,T.F36,2*,1,0.0284,0.0309,0,,,,9.664.2896.2*,C81,PALxDAV
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,664,2924,A,Parke4,Davies1,Parke4xDavies1,T.F21,3,1,0.0025,0.0054,0,,,,9.664.2924.3,C66,PARxDAV
C,01.02.21,,04.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,664,1279,C,Switzer6Bulk,Switzer6Bulk,Switzer6BulkxSwitzer6Bulk,Model4rep1,2,1,0.0029,0.0054,0,,,,9.664.1279.2,C7,SWIxSWI
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,664,1267,A,Parke5,Davies10,Parke5xDavies10,T.F23,2,1,0.0029,0.0059,0,,,,9.664.1267.2,C88,PARxDAV
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,664,1220,B,Switzer7,Davies10,Switzer7xDavies10,T.F32,1,1,0.0025,0.0054,0,,,,9.664.1220.1,C67,SWIxDAV
C,01.02.21,,04.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,395,1291,A,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,3,1,0.0059,0.0108,0,,,,9.395.1291.3,C3,PARxPAR
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,395,1669,D,Switzer2,Davies1,Switzer2xDavies1,T.F26,1,1,0.0025,0.0059,0,,,,9.395.1669.1,C96,SWIxDAV
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,395,2994,C,Parke2,Parke5,Parke2xParke5,T.F8,2,1,0.0029,0.0059,0,,,,9.395.2994.2,C90,PARxPAR
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,395,2987,D,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,1,0,0.0025,0.0054,0,,,,9.395.2987.1,C93,SWIxSWI
S,01.02.21,,04.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,395,1218,D,Switzer6Bulk,Davies6Bulk,Switzer6BulkxDavies6Bulk,Model5rep1,7*,1,0.0029,0.0059,0,,,,9.395.1218.7*,C9,SWIxDAV
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,637,1613,C,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,0.024,0.0529,0.546,,,,9.637.1613.1,C71,JEWxDAV
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,637,1439,D,Davies13,Davies1,Davies13xDavies1,T.F66,3*,0,0.0044,0.0088,0,,,,9.637.1439.3*,C102,DAVxDAV
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,637,2964,D,Parke4,Parke2,Parke4xParke2,T.F5,1*,1,0.0034,0.0059,0,,,,9.637.2964.1*,C76,PARxPAR
S,01.02.21,,04.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,637,2805,A,PalmsBulk,Davies6Bulk,PalmsBulkxDavies6Bulk,Model6rep1,1*,1,0.0034,0.0059,0,,,,9.637.2805.1*,C13,PALxDAV
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,637,1433,B,Jewell8,Jewell3,Jewell8xJewell3,T.F68,2,1,0.0044,0.0083,0,,,,9.637.1433.2,C100,JEWxJEW
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,367,1237,D,Palms2,Davies1,Palms2xDavies1,T.F37,3*,1,0.0343,0.0358,0,,,,9.367.1237.3*,C84,PALxDAV
S,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,367,1408,C,Jewell8,Jewell2,Jewell8xJewell2,T.F1,1,1,0.0029,0.0054,0,,,,9.367.1408.1,C74,JEWxJEW
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,367,2334,D,Davies1,Davies8,Davies1xDavies8,T.F16,2,1,0.0029,0.0054,0,,,,9.367.2334.2,C82,DAVxDAV
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,367,2837,D,Davies8,Davies10,Davies8xDavies10,T.F15,2*,1,0.0025,0.0054,0,,,,9.367.2837.2*,C91,DAVxDAV
C,01.02.21,,04.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,JEWELL,9,367,1997,C,Jewell8,Palms5,Jewell8xPalms5,T.F53,2,1,0.0025,0.0049,0,,,,9.367.1997.2,C29,JEWxPAL
S,01.02.21,,02.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,AMB,D1,10,422,1262,A,Switzer6Bulk,Davies6Bulk,Switzer6BulkxDavies6Bulk,Model5rep1,1,1,0.1436,0.2025,0.291,,,,10.422.1262.1,C9,SWIxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,422,1449,D,Davies8,Davies6,Davies8xDavies6,T.F14,1,1,0.148,0.2196,0.326,,,,10.422.1449.1,C70,DAVxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,422,1542,A,Jewell3,Davies1,Jewell3xDavies1,T.F58,1,1,0.1431,0.2245,0.362,,,,10.422.1542.1,C101,JEWxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,422,1448,C,Jewell8,Jewell2,Jewell8xJewell2,T.F1,3,1,0.1284,0.1902,0.325,,,,10.422.1448.3,C74,JEWxJEW
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,422,1698,A,Switzer2,Davies6,Switzer2xDavies6,T.F28,1,1,0.1574,0.2338,0.327,,,,10.422.1698.1,C98,SWIxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,492,1655,A,Switzer2,Davies1,Switzer2xDavies1,T.F26,1,1,0.1343,0.1902,0.294,,,,10.492.1655.1,C96,SWIxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,492,1929,A,Jewell8,Palms1,Jewell8xPalms1,T.F42,1,1,0.1539,0.2216,0.305,,,,10.492.1929.1,C55,JEWxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,492,1996,A,Jewell8,Palms5,Jewell8xPalms5,T.F53,1,1,0.1534,0.2191,0.3,,,,10.492.1996.1,C29,JEWxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,492,1902,A,Palms5,Palms4,Palms5xPalms4,T.F34,1,1,0.1804,0.25,0.278,,,,10.492.1902.1,C79,PALxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,424,3144,A,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,0.2005,0.2397,0.164,,,,10.424.3144.1,C71,JEWxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,424,2831,D,Switzer6,Davies1,Switzer6xDavies1,T.F29,5,1,0.2196,0.2652,0.172,,,,10.424.2831.5,C68,SWIxDAV
S,01.02.21,,02.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,AMB,D1,10,424,2825,B,PalmsBulk,Davies6Bulk,PalmsBulkxDavies6Bulk,Model6rep1,7,1,0.1667,0.2127,0.217,,,,10.424.2825.7,C13,PALxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,424,2796,C,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,5,1,0.1534,0.1887,0.187,,,,10.424.2796.5,C80,SWIxSWI
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,424,2978,D,Davies6,Davies1,Davies6xDavies1,T.F13,2,1,0.174,0.2461,0.293,,,,10.424.2978.2,C75,DAVxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,386,1672,D,Jewell7,Davies1,Jewell7xDavies1,T.F62,4,1,0.1338,0.2039,0.344,,,,10.386.1672.4,C38,JEWxDAV
C,01.02.21,,02.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,AMB,D1,10,386,2832,D,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,7,1,0.1333,0.1848,0.279,,,,10.386.2832.7,C3,PARxPAR
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,386,2998,A,Parke2,Parke5,Parke2xParke5,T.F8,3,1,0.1691,0.2544,0.335,,,,10.386.2998.3,C90,PARxPAR
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,386,1441,B,Jewell8,Jewell3,Jewell8xJewell3,T.F68,3,1,0.1804,0.2456,0.265,,,,10.386.1441.3,C100,JEWxJEW
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,386,2883,B,Palms4,Davies1,Palms4xDavies1,T.F36,1,1,0.176,0.2348,0.251,,,,10.386.2883.1,C81,PALxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,686,1484,A,Davies13,Davies1,Davies13xDavies1,T.F66,1,1,0.2078,0.2667,0.221,,,,10.686.1484.1,C102,DAVxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,686,2706,B,Switzer7,Davies10,Switzer7xDavies10,T.F32,1,1,0.1569,0.2417,0.351,,,,10.686.2706.1,C67,SWIxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,686,1918,D,Jewell6,Palms1,Jewell6xPalms1,T.F38,3,1,0.1279,0.1995,0.359,,,,10.686.1918.3,C31,JEWxPAL
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,686,1252,A,Jewell8,Davies6,Jewell8xDavies6,T.F18,2,1,0.126,0.1951,0.354,,,,10.686.1252.2,C87,JEWxDAV
C,01.02.21,,02.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,AMB,D1,10,686,2781,A,Jewell(bottom),Davies6Bulk,Jewell(bottom)xDavies6bulk,Model1rep1,1,1,0.1294,0.2044,0.367,,,,10.686.2781.1,C1,JEWxDAV
C,01.02.21,,02.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,AMB,D1,10,487,1228,A,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,1,1,0.123,0.1961,0.373,,,,10.487.1228.1,C5,PARxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,487,1294,A,Jewell8,Davies1,Jewell8xDavies1,T.F64,2,1,0.1569,0.2328,0.326,,,,10.487.1294.2,C65,JEWxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,487,2326,A,Parke5,Parke4,Parke5xParke4,T.F6,1,1,0.1598,0.2471,0.353,,,,10.487.2326.1,C83,PARxPAR
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,487,1993,B,Palms4,Palms2,Palms4xPalms2,T.F33,2,1,0.1176,0.1902,0.381,,,,10.487.1993.2,C94,PALxPAL
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,487,1278,D,Jewell8,Davies13,Jewell8xDavies13,T.F65,3,1,0.1431,0.2221,0.355,,,,10.487.1278.3,C62,JEWxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,414,2875,C,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,2,1,0.1108,0.1828,0.394,,,,10.414.2875.2,C69,SWIxSWI
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,414,1292,A,Palms2,Davies1,Palms2xDavies1,T.F37,1,1,0.1235,0.1956,0.368,,,,10.414.1292.1,C84,PALxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,414,1471,A,Jewell3,Palms1,Jewell3xPalms1,T.F40,1,1,0.1877,0.2779,0.325,,,,10.414.1471.1,C60,JEWxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,414,2377,D,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,1,1,0.1632,0.2382,0.315,,,,10.414.2377.1,C93,SWIxSWI
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,414,1249,B,Jewell2,Palms1,Jewell2xPalms1,T.F39,2,1,0.1672,0.2373,0.295,,,,10.414.1249.2,C30,JEWxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,657,2367,C,Davies1,Davies8,Davies1xDavies8,T.F16,4,1,0.1284,0.2201,0.416,,,,10.657.2367.4,C82,DAVxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,657,1505,C,Palms2,Palms5,Palms2xPalms5,T.F35,3,1,0.123,0.2147,0.427,,,,10.657.1505.3,C86,PALxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,657,1209,B,Davies8,Davies10,Davies8xDavies10,T.F15,2,1,0.1289,0.2049,0.371,,,,10.657.1209.2,C91,DAVxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,657,1998,B,Jewell8,Palms4,Jewell8xPalms4,T.F47,4,1,0.1235,0.1951,0.367,,,,10.657.1998.4,C59,JEWxPAL
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,657,2895,C,Switzer4,Davies8,Switzer4xDavies8,T.F31,5,1,0.1299,0.1789,0.274,,,,10.657.2895.5,C72,SWIxDAV
S,01.02.21,,02.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,AMB,D1,10,670,2865,B,Switzer6Bulk,Switzer6Bulk,Switzer6BulkxSwitzer6Bulk,Model4rep1,4,1,0.1779,0.2828,0.371,,,,10.670.2865.4,C7,SWIxSWI
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,670,2821,D,Parke4,Parke2,Parke4xParke2,T.F5,3,1,0.1328,0.2172,0.388,,,,10.670.2821.3,C76,PARxPAR
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,670,2310,C,Parke5,Davies10,Parke5xDavies10,T.F23,1,1,0.1123,0.1843,0.391,,,,10.670.2310.1,C88,PARxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,670,2360,D,Parke4,Davies1,Parke4xDavies1,T.F21,7,1,0.1451,0.2206,0.342,,,,10.670.2360.7,C66,PARxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,AMB,D1,10,670,2763,D,Parke5,Davies6,Parke5xDavies6,T.F22,7,1,0.1412,0.2196,0.357,,,,10.670.2763.7,C78,PARxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,400,2856,C,Palms2,Davies1,Palms2xDavies1,T.F37,1,1,0.1627,0.2176,0.252,,,,11.400.2856.1,C84,PALxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,400,1407,D,Jewell2,Jewell8,Jewell2xJewell8,T.F4,1,1,0.1681,0.249,0.325,,,,11.400.1407.1,C85,JEWxJEW
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,400,1685,A,Switzer2,Davies6,Switzer2xDavies6,T.F28,1,1,0.1505,0.2333,0.355,,,,11.400.1685.1,C98,SWIxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,400,1663,D,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,0.2054,0.2505,0.18,,,,11.400.1663.1,C71,JEWxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,692,2308,D,Switzer7,Davies10,Switzer7xDavies10,T.F32,1,1,0.1887,0.2794,0.325,,,,11.692.2308.1,C67,SWIxDAV
S,01.02.21,,02.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,HOT,D1,11,692,2970,A,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,1,1,0.1657,0.249,0.335,,,,11.692.2970.1,C3,PARxPAR
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,692,1207,A,Parke4,Davies1,Parke4xDavies1,T.F21,1,1,0.1755,0.2377,0.262,,,,11.692.1207.1,C66,PARxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,692,1591,C,Palms2,Palms5,Palms2xPalms5,T.F35,4,1,0.1574,0.2588,0.392,,,,11.692.1591.4,C86,PALxPAL
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,692,2941,B,Parke5,Davies10,Parke5xDavies10,T.F23,3,1,0.1265,0.2064,0.387,,,,11.692.2941.3,C88,PARxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,706,1223,D,Davies8,Davies10,Davies8xDavies10,T.F15,4,1,0.1441,0.1931,0.254,,,,11.706.1223.4,C91,DAVxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,706,2858,A,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,1,1,0.1289,0.1936,0.334,,,,11.706.2858.1,C80,SWIxSWI
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,706,2963,A,Jewell8,Jewell2,Jewell8xJewell2,T.F1,1,1,0.1544,0.2098,0.264,,,,11.706.2963.1,C74,JEWxJEW
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,706,1254,A,Jewell3,Palms1,Jewell3xPalms1,T.F40,1,1,0.2025,0.2593,0.219,,,,11.706.1254.1,C60,JEWxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,706,1533,C,Jewell3,Davies1,Jewell3xDavies1,T.F58,1,1,0.1569,0.2495,0.371,,,,11.706.1533.1,C101,JEWxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,491,2324,B,Parke2,Parke5,Parke2xParke5,T.F8,2,1,0.1176,0.1892,0.378,,,,11.491.2324.2,C90,PARxPAR
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,491,2840,B,Parke5,Parke4,Parke5xParke4,T.F6,4,1,0.1578,0.2225,0.291,,,,11.491.2840.4,C83,PARxPAR
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,491,2900,A,Switzer4,Davies8,Switzer4xDavies8,T.F31,1,1,0.1574,0.223,0.295,,,,11.491.2900.1,C72,SWIxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,491,2709,B,Jewell8,Davies1,Jewell8xDavies1,T.F64,5,1,0.1637,0.2407,0.32,,,,11.491.2709.5,C65,JEWxDAV
S,01.02.21,,02.02.21,A.ten,BulkCross,Juvenile,2021,-4,27.5C,HOT,D1,11,491,2767,C,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,3,1,0.1431,0.2176,0.342,,,,11.491.2767.3,C5,PARxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,632,3132,A,Jewell5,Palms4,Jewell5xPalms4,T.F45,2,1,0.1294,0.1902,0.32,,,,11.632.3132.2,C34,JEWxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,687,2370,D,Switzer6,Davies1,Switzer6xDavies1,T.F29,5,1,0.1417,0.2172,0.348,,,,11.687.2370.5,C68,SWIxDAV
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,687,2929,C,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,1,1,0.1549,0.2373,0.347,,,,11.687.2929.1,C93,SWIxSWI
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,687,2833,B,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,4,1,0.0961,0.1637,0.413,,,,11.687.2833.4,C69,SWIxSWI
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,687,1919,B,Jewell8,Palms1,Jewell8xPalms1,T.F42,1,1,0.1265,0.1975,0.36,,,,11.687.1919.1,C55,JEWxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,682,2717,C,Jewell8,Davies13,Jewell8xDavies13,T.F65,1*,1,0.1088,0.1799,0.395,,,,11.682.2717.1*,C62,JEWxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,682,2940,B,Palms4,Davies1,Palms4xDavies1,T.F36,5,1,0.1613,0.2358,0.316,,,,11.682.2940.5,C81,PALxDAV
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,682,1521,B,Palms5,Palms4,Palms5xPalms4,T.F34,5,1,0.1333,0.2265,0.411,,,,11.682.1521.5,C79,PALxPAL
C,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,682,2371,B,Parke4,Parke2,Parke4xParke2,T.F5,2,1,0.1426,0.2044,0.302,,,,11.682.2371.2,C76,PARxPAR
S,01.02.21,,02.02.21,A.ten,IndivCross,Juvenile,2021,-4,27.5C,HOT,D1,11,682,1659,C,Jewell7,Davies1,Jewell7xDavies1,T.F62,2,1,0.1221,0.1819,0.329,,,,11.682.1659.2,C38,JEWxDAV
